Риск Опыт_применения_другими_фирмами Стоимость_внедрения Тех_поддержка_разработчиков Увеличение_эффективности
высокий плохой высокая нет до_15
высокий неизвестно высокая нет 15_35
средний неизвестно низкая нет 15_35
высокий неизвестно низкая нет до_15
низкий неизвестно низкая нет свыше_35
низкий плохой высокая адекватная свыше_35
высокий плохой низкая нет до_15
средний хороший низкая адекватная свыше_35
низкий хороший низкая нет свыше_35
низкий хороший высокая адекватная свыше_35
высокий хороший высокая нет до_15
средний хороший высокая нет 15_35
низкий хороший высокая нет свыше_35
высокий плохой высокая нет 15_35
высокий плохой средняя нет до_15
высокий плохой низкая нет до_15
средний хороший низкая адекватная свыше_35
низкий хороший низкая нет свыше_35
низкий хороший высокая адекватная свыше_35
